unix_time,temperature,humidity,pressure,gas_resistance
1684744389,31.49,38.882,996.31,1354904.0
1684744389,31.49,38.882,996.31,1354904.0
1684744389,31.49,38.882,996.31,1354904.0
1684744389,31.49,38.882,996.31,1354904.0
1684744389,31.61,38.882,996.31,1352170.0
1684744389,31.61,38.882,996.31,1352170.0
1684744390,31.61,38.882,996.31,1352170.0
1684744390,31.61,38.882,996.31,1352170.0
1684744390,31.61,38.882,996.31,1352170.0
1684744390,31.17,38.781,996.31,1353535.0
1684744390,31.17,38.781,996.31,1353535.0
1684744390,31.17,38.781,996.31,1353535.0
1684744390,31.46,38.781,996.33,1353535.0
1684744391,31.46,38.781,996.33,1353535.0
1684744391,31.46,38.781,996.33,1353535.0
1684744391,31.46,38.781,996.33,1353535.0
1684744391,31.46,38.781,996.33,1353535.0
1684744391,31.58,38.781,996.31,1359026.0
1684744391,31.58,38.781,996.31,1359026.0
1684744392,31.58,38.781,996.31,1359026.0
1684744392,31.58,38.781,996.31,1359026.0
1684744392,31.58,38.781,996.31,1359026.0
1684744392,31.15,38.781,996.29,1364562.0
1684744392,31.15,38.781,996.29,1364562.0
1684744392,31.44,38.781,996.29,1352170.0
1684744393,31.44,38.781,996.29,1352170.0
1684744393,31.44,38.781,996.29,1352170.0
1684744393,31.44,38.781,996.29,1352170.0
1684744393,31.44,38.781,996.29,1352170.0
1684744393,31.56,38.781,996.29,1372951.0
1684744393,31.56,38.781,996.29,1372951.0
1684744394,31.56,38.781,996.29,1372951.0
1684744394,31.56,38.781,996.29,1372951.0
1684744394,31.56,38.781,996.29,1372951.0
1684744394,31.15,38.781,996.31,1354904.0
1684744394,31.15,38.781,996.31,1354904.0
1684744394,31.44,38.781,996.31,1357649.0
1684744395,31.44,38.781,996.31,1357649.0
1684744395,31.56,38.900,996.31,1364562.0
1684744395,31.56,38.900,996.31,1364562.0
1684744395,31.56,38.900,996.31,1364562.0
1684744395,31.56,38.900,996.31,1364562.0
1684744395,31.56,38.900,996.31,1364562.0
1684744395,31.56,38.900,996.31,1364562.0
1684744395,31.62,38.900,996.31,1354904.0
1684744395,31.62,38.900,996.31,1354904.0
1684744395,31.67,38.900,996.31,1349446.0
1684744396,31.67,38.900,996.31,1349446.0
1684744396,31.67,38.900,996.31,1349446.0
1684744396,31.67,38.900,996.31,1349446.0
1684744396,31.67,38.900,996.31,1349446.0
1684744396,31.71,38.900,996.37,1348089.0
1684744396,31.71,38.900,996.37,1348089.0
1684744397,31.71,38.900,996.37,1348089.0
1684744397,31.71,38.900,996.37,1348089.0
1684744397,31.71,38.900,996.37,1348089.0
1684744397,31.21,38.900,996.33,1352170.0
1684744397,31.21,38.900,996.33,1352170.0
1684744397,31.48,38.900,996.31,1356275.0
1684744398,31.48,38.900,996.31,1356275.0
1684744398,31.48,38.900,996.31,1356275.0
1684744398,31.48,38.900,996.31,1356275.0
1684744398,31.48,38.900,996.31,1356275.0
1684744398,31.61,38.900,996.33,1357649.0
1684744398,31.61,38.900,996.33,1357649.0
1684744399,31.61,38.900,996.33,1357649.0
1684744399,31.61,38.900,996.33,1357649.0
1684744399,31.61,38.900,996.33,1357649.0
1684744399,31.16,38.900,996.29,1352170.0
1684744399,31.16,38.900,996.29,1352170.0
1684744399,31.45,38.900,996.33,1353535.0
1684744400,31.45,38.900,996.33,1353535.0
1684744400,31.45,38.900,996.33,1353535.0
1684744400,31.45,38.900,996.33,1353535.0
1684744400,31.45,38.900,996.33,1353535.0
1684744400,31.57,39.012,996.35,1349446.0
1684744400,31.57,39.012,996.35,1349446.0
1684744400,31.57,39.012,996.35,1349446.0
1684744401,31.57,39.012,996.35,1349446.0
1684744401,31.57,39.012,996.35,1349446.0
1684744401,31.57,39.012,996.35,1349446.0
1684744401,31.15,39.012,996.33,1361789.0
1684744401,31.15,39.012,996.33,1361789.0
1684744401,31.43,39.012,996.31,1356275.0
1684744402,31.43,39.012,996.31,1356275.0
1684744402,31.43,39.012,996.31,1356275.0
1684744402,31.43,39.012,996.31,1356275.0
1684744402,31.43,39.012,996.31,1356275.0
1684744402,31.57,39.012,996.35,1346734.0
1684744402,31.57,39.012,996.35,1346734.0
1684744402,31.59,39.012,996.33,1353535.0
1684744402,31.59,39.012,996.33,1353535.0
1684744403,31.66,39.012,996.33,1357649.0
1684744403,31.66,39.012,996.33,1357649.0
1684744403,31.66,39.012,996.33,1357649.0
1684744403,31.66,39.012,996.33,1357649.0
1684744403,31.66,39.012,996.33,1357649.0
1684744403,31.70,39.012,996.31,1357649.0
1684744403,31.70,39.012,996.31,1357649.0
1684744404,31.70,39.012,996.31,1357649.0
1684744404,31.70,39.012,996.31,1357649.0
1684744404,31.70,39.012,996.31,1357649.0
1684744404,31.21,39.012,996.33,1346734.0
1684744404,31.21,39.012,996.33,1346734.0
1684744404,31.49,39.012,996.31,1349446.0
1684744405,31.49,39.012,996.31,1349446.0
1684744405,31.49,39.012,996.31,1349446.0
1684744405,31.49,39.012,996.31,1349446.0
1684744405,31.49,39.012,996.31,1349446.0
1684744405,31.59,39.012,996.31,1350806.0
1684744405,31.59,39.012,996.31,1350806.0
1684744406,31.59,39.012,996.31,1350806.0
1684744406,31.59,39.012,996.31,1350806.0
1684744406,31.59,39.012,996.31,1350806.0
1684744406,31.16,39.012,996.29,1349446.0
1684744406,31.16,39.012,996.29,1349446.0
1684744406,31.45,39.114,996.35,1346734.0
1684744407,31.45,39.114,996.35,1346734.0
1684744407,31.45,39.114,996.35,1346734.0
1684744407,31.45,39.114,996.35,1346734.0
1684744407,31.45,39.114,996.35,1346734.0
1684744407,31.45,39.114,996.35,1346734.0
1684744407,31.57,39.114,996.35,1352170.0
1684744407,31.57,39.114,996.35,1352170.0
1684744408,31.57,39.114,996.35,1352170.0
1684744408,31.57,39.114,996.35,1352170.0
1684744408,31.57,39.114,996.35,1352170.0
1684744408,31.14,39.114,996.25,1352170.0
1684744408,31.14,39.114,996.25,1352170.0
